zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,latitude,longitude,country,decommissioned,estimated_population,notes
24487,STANDARD,Williamsville,Burnsville,,VA,Bath County,38.19,-79.56,US,0,0,
24501,STANDARD,Lynchburg,,Miller Park,VA,Lynchburg City,37.4,-79.19,US,0,17907,
24502,STANDARD,Lynchburg,Timberlake,Fort Hill,VA,Lynchburg City,37.4,-79.19,US,0,28461,
24503,STANDARD,Lynchburg,,Rivermont,VA,Lynchburg City,37.4,-79.19,US,0,16263,
24504,STANDARD,Lynchburg,,,VA,Lynchburg City,37.4,-79.19,US,0,6383,
24517,STANDARD,Altavista,,,VA,Campbell County,37.12,-79.28,US,0,4383,
24520,STANDARD,Alton,,,VA,Halifax County,36.56,-79,US,0,1808,
24521,STANDARD,Amherst,,Falconerville,VA,Amherst County,37.58,-79.05,US,0,8008,
24522,STANDARD,Appomattox,,,VA,Appomattox County,37.35,-78.82,US,0,7853,
24523,STANDARD,Bedford,,,VA,Bedford City,37.32,-79.52,US,0,15102,
24526,STANDARD,Big Island,,Snowden,VA,Bedford County,37.53,-79.36,US,0,1229,
24527,STANDARD,Blairs,,,VA,Pittsylvania County,36.68,-79.38,US,0,2606,
24528,STANDARD,Brookneal,,,VA,Campbell County,37.05,-78.94,US,0,2724,
24529,STANDARD,Buffalo Junction,Buffalo Jct,,VA,Mecklenburg County,36.6,-78.63,US,0,1294,
24530,STANDARD,Callands,,,VA,Pittsylvania County,36.81,-79.58,US,0,892,
24531,STANDARD,Chatham,,,VA,Pittsylvania County,36.81,-79.39,US,0,6602,
24534,STANDARD,Clover,,,VA,Halifax County,36.83,-78.73,US,0,1349,
24536,STANDARD,Coleman Falls,,,VA,Bedford County,37.5,-79.33,US,0,0,
24538,STANDARD,Concord,,,VA,Appomattox County,37.35,-78.98,US,0,3769,
24539,STANDARD,Crystal Hill,,,VA,Halifax County,36.85,-78.9,US,0,0,
24540,STANDARD,Danville,,,VA,Danville City,36.58,-79.4,US,0,24307,
24541,STANDARD,Danville,,Schoolfield,VA,Danville City,36.58,-79.4,US,0,21053,
24549,STANDARD,Dry Fork,,,VA,Pittsylvania County,36.75,-79.41,US,0,3454,
24550,STANDARD,Evington,,,VA,Campbell County,37.23,-79.28,US,0,5681,
24551,STANDARD,Forest,,,VA,Bedford County,37.37,-79.27,US,0,18223,
24553,STANDARD,Gladstone,,,VA,Amherst County,37.54,-78.84,US,0,1456,
24554,STANDARD,Gladys,,,VA,Campbell County,37.16,-79.08,US,0,2996,
24555,STANDARD,Glasgow,,,VA,Rockbridge County,37.63,-79.45,US,0,1729,
24556,STANDARD,Goode,,,VA,Bedford County,37.36,-79.38,US,0,2682,
24557,STANDARD,Gretna,,,VA,Pittsylvania County,36.95,-79.36,US,0,6054,
24558,STANDARD,Halifax,,,VA,Halifax County,36.76,-78.93,US,0,5366,
24562,STANDARD,Howardsville,Scottsville,,VA,Nelson County,37.73,-78.64,US,0,0,
24563,STANDARD,Hurt,,,VA,Pittsylvania County,37.09,-79.29,US,0,4384,
24565,STANDARD,Java,,,VA,Pittsylvania County,36.83,-79.23,US,0,805,
24566,STANDARD,Keeling,,,VA,Pittsylvania County,36.71,-79.3,US,0,1153,
24569,STANDARD,Long Island,,,VA,Pittsylvania County,37.08,-79.1,US,0,782,
24570,STANDARD,Lowry,,,VA,Bedford County,37.34,-79.45,US,0,0,
24571,STANDARD,Lynch Station,,,VA,Campbell County,37.14,-79.36,US,0,1596,
24572,STANDARD,Madison Heights,Madison Hts,Wrights Shop,VA,Amherst County,37.43,-79.1,US,0,13272,
24574,STANDARD,Monroe,,,VA,Amherst County,37.6,-79.24,US,0,3232,
24577,STANDARD,Nathalie,"Lennig, Republican Grove, Republicn Grv",,VA,Halifax County,36.93,-78.95,US,0,3700,
24578,STANDARD,Natural Bridge,Natural Brg,,VA,Rockbridge County,37.63,-79.55,US,0,841,
24579,STANDARD,Natural Bridge Station,Naturl Br Sta,,VA,Rockbridge County,37.58,-79.5,US,0,1167,
24580,STANDARD,Nelson,,,VA,Mecklenburg County,36.55,-78.67,US,0,465,
24581,STANDARD,Norwood,,,VA,Nelson County,37.64,-78.8,US,0,0,
24586,STANDARD,Ringgold,,,VA,Pittsylvania County,36.6,-79.3,US,0,4455,
24588,STANDARD,Rustburg,,,VA,Campbell County,37.28,-79.1,US,0,7795,
24589,STANDARD,Scottsburg,,,VA,Halifax County,36.75,-78.79,US,0,1643,
24590,STANDARD,Scottsville,,,VA,Fluvanna County,37.79,-78.49,US,0,6149,
24592,STANDARD,South Boston,Turbeville,,VA,Halifax County,36.7,-78.9,US,0,10130,
24593,STANDARD,Spout Spring,,,VA,Appomattox County,37.35,-78.91,US,0,1358,
24594,STANDARD,Sutherlin,,,VA,Halifax County,36.62,-79.18,US,0,1355,
24597,STANDARD,Vernon Hill,Ingram,,VA,Halifax County,36.79,-79.12,US,0,937,
24598,STANDARD,Virgilina,,,VA,Halifax County,36.54,-78.77,US,0,1401,
24599,STANDARD,Wingina,,,VA,Nelson County,37.64,-78.73,US,0,437,
24602,STANDARD,Bandy,,,VA,Tazewell County,37.14,-81.7,US,0,544,
24603,STANDARD,Big Rock,Conaway,,VA,Buchanan County,37.31,-82.22,US,0,851,
24605,STANDARD,Bluefield,Yards,,VA,Tazewell County,37.23,-81.26,US,0,6964,
24609,STANDARD,Cedar Bluff,,"Belfast Mills, Indian, Steeleburg, Wardell",VA,Tazewell County,37.08,-81.76,US,0,5374,
24613,STANDARD,Falls Mills,,,VA,Tazewell County,37.26,-81.33,US,0,775,
24614,STANDARD,Grundy,,"Royal City, Stacy",VA,Buchanan County,37.27,-82.1,US,0,5016,
24620,STANDARD,Hurley,,,VA,Buchanan County,37.42,-82.02,US,0,1606,
24622,STANDARD,Jewell Ridge,Jewell Valley,,VA,Buchanan County,37.18,-81.8,US,0,711,
24628,STANDARD,Maxie,Harman,,VA,Buchanan County,37.31,-82.19,US,0,0,
24630,STANDARD,North Tazewell,"N Tazewell, Tiptop",,VA,Tazewell County,37.16,-81.5,US,0,5267,
24631,STANDARD,Oakwood,Patterson,,VA,Buchanan County,37.21,-81.98,US,0,968,
24634,STANDARD,Pilgrims Knob,,,VA,Buchanan County,37.29,-81.9,US,0,0,
24637,STANDARD,Pounding Mill,,Paint Lick,VA,Tazewell County,37.04,-81.73,US,0,2833,
24639,STANDARD,Raven,,,VA,Tazewell County,37.16,-81.9,US,0,2190,
24641,STANDARD,Richlands,,,VA,Tazewell County,37.09,-81.8,US,0,4134,
24646,STANDARD,Rowe,,,VA,Buchanan County,37.12,-82.03,US,0,521,
24649,STANDARD,Swords Creek,,"Dye, Lynn Spring",VA,Russell County,37.08,-81.91,US,0,1567,
24651,STANDARD,Tazewell,,"Gratton, Maxwell",VA,Tazewell County,37.12,-81.51,US,0,4369,
24656,STANDARD,Vansant,,,VA,Buchanan County,37.23,-82.08,US,0,2558,
24657,STANDARD,Whitewood,,,VA,Buchanan County,37.26,-81.88,US,0,0,
24701,STANDARD,Bluefield,"Bluewell, Green Valley","Ada, Brush Fork, Ceres, Littlesburg, Lorton Lick, Sandlick",WV,Mercer County,37.26,-81.21,US,0,15203,
24712,STANDARD,Athens,,,WV,Mercer County,37.42,-81.01,US,0,1602,
24714,STANDARD,Beeson,,,WV,Mercer County,37.49,-81.18,US,0,0,
24715,STANDARD,Bramwell,,,WV,Mercer County,37.32,-81.31,US,0,0,
24724,STANDARD,Freeman,Coaldale,,WV,Mercer County,37.33,-81.27,US,0,0,
24726,STANDARD,Herndon,,,WV,Wyoming County,37.51,-81.36,US,0,0,
24731,STANDARD,Kegley,,,WV,Mercer County,37.4,-81.13,US,0,0,
24733,STANDARD,Lashmeet,,,WV,Mercer County,37.44,-81.21,US,0,762,
24736,STANDARD,Matoaka,Dott,Giatto,WV,Mercer County,37.41,-81.24,US,0,610,
24739,STANDARD,Princeton,Oakvale,,WV,Mercer County,37.33,-80.96,US,0,0,
24740,STANDARD,Princeton,"Elgood, Oakvale",,WV,Mercer County,37.36,-81.1,US,0,22090,
24747,STANDARD,Rock,"Duhring, Mc Comas",,WV,Mercer County,37.38,-81.23,US,0,1645,
24801,STANDARD,Welch,"Capels, Coalwood, Havaco, Hemphill, Skygusty, Superior, Wolf Pen",Maitland,WV,McDowell County,37.43,-81.58,US,0,2633,
24808,STANDARD,Anawalt,Leckie,,WV,McDowell County,37.33,-81.44,US,0,0,
24815,STANDARD,Berwind,"Canebrake, Vallscreek",,WV,McDowell County,37.26,-81.66,US,0,0,
24818,STANDARD,Brenton,,,WV,Wyoming County,37.58,-81.66,US,0,822,
24822,STANDARD,Clear Fork,,,WV,Wyoming County,37.64,-81.69,US,0,0,
24823,STANDARD,Coal Mountain,,,WV,Wyoming County,37.67,-81.73,US,0,0,
24827,STANDARD,Cyclone,,,WV,Wyoming County,37.74,-81.66,US,0,881,
24828,STANDARD,Davy,"Asco, Twin Branch",,WV,McDowell County,37.47,-81.65,US,0,0,
24830,STANDARD,Elbert,Filbert,,WV,McDowell County,37.33,-81.52,US,0,0,
24839,STANDARD,Hanover,,,WV,Wyoming County,37.56,-81.81,US,0,712,
24844,STANDARD,Iaeger,,Steeles,WV,McDowell County,37.46,-81.81,US,0,1249,
24846,STANDARD,Isaban,,,WV,Mingo County,37.53,-81.85,US,0,0,
24849,STANDARD,Jesse,,,WV,Wyoming County,37.66,-81.55,US,0,0,
24850,STANDARD,Jolo,,,WV,McDowell County,37.33,-81.83,US,0,530,
24860,STANDARD,Matheny,,,WV,Wyoming County,37.68,-81.59,US,0,0,
24862,STANDARD,Mohawk,,,WV,McDowell County,37.49,-81.9,US,0,0,
24868,STANDARD,Northfork,"Algoma, Ashland, Crumpler, Keystone, Mc Dowell, Powhatan, Worth",,WV,McDowell County,37.41,-81.42,US,0,934,
24869,STANDARD,North Spring,,,WV,Wyoming County,37.52,-81.79,US,0,0,
